Date,Deaths per 1000 People,Annual % Change,,
12/31/1950,28.161,,,
12/31/1951,27.584,-2.05,,
12/31/1952,27.008,-2.09,,
12/31/1953,26.432,-2.13,,
12/31/1954,25.856,-2.18,,
12/31/1955,25.28,-2.23,,
12/31/1956,24.703,-2.28,,
12/31/1957,24.127,-2.33,,
12/31/1958,23.551,-2.39,,
12/31/1959,23.016,-2.27,,
12/31/1960,22.481,-2.32,,
12/31/1961,21.946,-2.38,,
12/31/1962,21.411,-2.44,,
12/31/1963,20.876,-2.5,,
12/31/1964,20.374,-2.4,,
12/31/1965,19.873,-2.46,,
12/31/1966,19.371,-2.53,,
12/31/1967,18.87,-2.59,,
12/31/1968,18.368,-2.66,,
12/31/1969,17.911,-2.49,,
12/31/1970,17.454,-2.55,,
12/31/1971,16.997,-2.62,,
12/31/1972,16.54,-2.69,,
12/31/1973,16.083,-2.76,,
12/31/1974,15.676,-2.53,,
12/31/1975,15.269,-2.6,,
12/31/1976,14.862,-2.67,,
12/31/1977,14.455,-2.74,,
12/31/1978,14.048,-2.82,,
12/31/1979,13.773,-1.96,,
12/31/1980,13.498,-2,,
12/31/1981,13.223,-2.04,,
12/31/1982,12.948,-2.08,,
12/31/1983,12.673,-2.12,,
12/31/1984,12.451,-1.75,,
12/31/1985,12.229,-1.78,,
12/31/1986,12.008,-1.81,,
12/31/1987,11.786,-1.85,,
12/31/1988,11.564,-1.88,,
12/31/1989,11.286,-2.4,,
12/31/1990,11.007,-2.47,,
12/31/1991,10.729,-2.53,,
12/31/1992,10.45,-2.6,,
12/31/1993,10.172,-2.66,,
12/31/1994,9.956,-2.12,,
12/31/1995,9.739,-2.18,,
12/31/1996,9.523,-2.22,,
12/31/1997,9.306,-2.28,,
12/31/1998,9.09,-2.32,,
12/31/1999,8.947,-1.57,,
12/31/2000,8.804,-1.6,,
12/31/2001,8.661,-1.62,,
12/31/2002,8.518,-1.65,,
12/31/2003,8.375,-1.68,,
12/31/2004,8.261,-1.36,,
12/31/2005,8.147,-1.38,,
12/31/2006,8.034,-1.39,,
12/31/2007,7.92,-1.42,,
12/31/2008,7.806,-1.44,,
12/31/2009,7.697,-1.4,,
12/31/2010,7.589,-1.4,,
12/31/2011,7.48,-1.44,,
12/31/2012,7.372,-1.44,,
12/31/2013,7.263,-1.48,,
12/31/2014,7.258,-0.07,,
12/31/2015,7.253,-0.07,,
12/31/2016,7.247,-0.08,,
12/31/2017,7.242,-0.07,,
12/31/2018,7.237,-0.07,,
12/31/2019,7.273,0.5,,
12/31/2020,7.309,0.49,,
12/31/2021,7.344,0.48,,
12/31/2022,7.38,0.49,,
12/31/2023,7.416,0.49,,
12/31/2024,7.473,0.77,,
12/31/2025,7.53,0.76,,
12/31/2026,7.588,0.77,,
12/31/2027,7.645,0.75,,
12/31/2028,7.702,0.75,,
12/31/2029,7.778,0.99,,
12/31/2030,7.853,0.96,,
12/31/2031,7.929,0.97,,
12/31/2032,8.004,0.95,,
12/31/2033,8.08,0.95,,
12/31/2034,8.17,1.11,,
12/31/2035,8.261,1.11,,
12/31/2036,8.351,1.09,,
12/31/2037,8.442,1.09,,
12/31/2038,8.532,1.07,,
12/31/2039,8.631,1.16,,
12/31/2040,8.731,1.16,,
12/31/2041,8.83,1.13,,
12/31/2042,8.93,1.13,,
12/31/2043,9.029,1.11,,
12/31/2044,9.134,1.16,,
12/31/2045,9.239,1.15,,
12/31/2046,9.343,1.13,,
12/31/2047,9.448,1.12,,
12/31/2048,9.553,1.11,,
12/31/2049,9.666,1.18,,
12/31/2050,9.779,1.17,,
12/31/2051,9.892,1.16,,
12/31/2052,10.005,1.14,,
12/31/2053,10.118,1.13,,
12/31/2054,10.236,1.17,,
12/31/2055,10.355,1.16,,
12/31/2056,10.473,1.14,,
12/31/2057,10.592,1.14,,
12/31/2058,10.71,1.11,,
12/31/2059,10.833,1.15,,
12/31/2060,10.957,1.14,,
12/31/2061,11.08,1.12,,
12/31/2062,11.204,1.12,,
12/31/2063,11.327,1.1,,
12/31/2064,11.446,1.05,,
12/31/2065,11.565,1.04,,
12/31/2066,11.683,1.02,,
12/31/2067,11.802,1.02,,
12/31/2068,11.921,1.01,,
12/31/2069,12.03,0.91,,
12/31/2070,12.138,0.9,,
12/31/2071,12.247,0.9,,
12/31/2072,12.355,0.88,,
12/31/2073,12.464,0.88,,
12/31/2074,12.556,0.74,,
12/31/2075,12.647,0.72,,
12/31/2076,12.739,0.73,,
12/31/2077,12.83,0.71,,
12/31/2078,12.922,0.72,,
12/31/2079,12.993,0.55,,
12/31/2080,13.064,0.55,,
12/31/2081,13.136,0.55,,
12/31/2082,13.207,0.54,,
12/31/2083,13.278,0.54,,
12/31/2084,13.328,0.38,,
12/31/2085,13.378,0.38,,
12/31/2086,13.428,0.37,,
12/31/2087,13.478,0.37,,
12/31/2088,13.528,0.37,,
12/31/2089,13.562,0.25,,
12/31/2090,13.595,0.24,,
12/31/2091,13.629,0.25,,
12/31/2092,13.662,0.24,,
12/31/2093,13.696,0.25,,
12/31/2094,13.709,0.09,,
12/31/2095,13.721,0.09,,
12/31/2096,13.734,0.09,,
12/31/2097,13.746,0.09,,
12/31/2098,13.759,0.09,,
12/31/2099,13.772,0.09,,
12/31/2100,13.784,0.09,,